,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
0,Gold Medal,1,2021-07-24 00:00:00.0,KIM JD,KIM Je Deok,KOR,ARC
1,Gold Medal,1,2021-07-24 00:00:00.0,AN S,AN San,KOR,ARC
2,Silver Medal,2,2021-07-24 00:00:00.0,SCHLOESSER G,SCHLOESSER Gabriela,NED,ARC
3,Silver Medal,2,2021-07-24 00:00:00.0,WIJLER S,WIJLER Steve,NED,ARC
4,Bronze Medal,3,2021-07-24 00:00:00.0,ALVAREZ L,ALVAREZ Luis,MEX,ARC
5,Bronze Medal,3,2021-07-24 00:00:00.0,VALENCIA A,VALENCIA Alejandra,MEX,ARC
6,Gold Medal,1,2021-07-24 00:00:00.0,CARAPAZ R,CARAPAZ Richard,ECU,CRD
7,Silver Medal,2,2021-07-24 00:00:00.0,van AERT W,van AERT Wout,BEL,CRD
8,Bronze Medal,3,2021-07-24 00:00:00.0,POGACAR T,POGACAR Tadej,SLO,CRD
9,Gold Medal,1,2021-07-24 00:00:00.0,SZILAGYI A,SZILAGYI Aron,HUN,FEN
10,Silver Medal,2,2021-07-24 00:00:00.0,SAMELE L,SAMELE Luigi,ITA,FEN
11,Bronze Medal,3,2021-07-24 00:00:00.0,KIM J,KIM Junghwan,KOR,FEN
12,Gold Medal,1,2021-07-24 00:00:00.0,SUN Y,SUN Yiwen,CHN,FEN
13,Silver Medal,2,2021-07-24 00:00:00.0,POPESCU AM,POPESCU Ana Maria,ROU,FEN
14,Bronze Medal,3,2021-07-24 00:00:00.0,LEHIS K,LEHIS Katrina,EST,FEN
15,Gold Medal,1,2021-07-24 00:00:00.0,TAKATO N,TAKATO Naohisa,JPN,JUD
16,Silver Medal,2,2021-07-24 00:00:00.0,YANG YW,YANG Yung Wei,TPE,JUD
17,Bronze Medal,3,2021-07-24 00:00:00.0,MKHEIDZE L,MKHEIDZE Luka,FRA,JUD
18,Bronze Medal,3,2021-07-24 00:00:00.0,SMETOV Y,SMETOV Yeldos,KAZ,JUD
19,Gold Medal,1,2021-07-24 00:00:00.0,KRASNIQI D,KRASNIQI Distria,KOS,JUD
20,Silver Medal,2,2021-07-24 00:00:00.0,TONAKI F,TONAKI Funa,JPN,JUD
21,Bronze Medal,3,2021-07-24 00:00:00.0,BILODID D,BILODID Daria,UKR,JUD
22,Bronze Medal,3,2021-07-24 00:00:00.0,MUNKHBAT U,MUNKHBAT Urantsetseg,MGL,JUD
23,Gold Medal,1,2021-07-24 00:00:00.0,FOROUGHI J,FOROUGHI Javad,IRI,SHO
24,Silver Medal,2,2021-07-24 00:00:00.0,MIKEC D,MIKEC Damir,SRB,SHO
25,Bronze Medal,3,2021-07-24 00:00:00.0,PANG W,PANG Wei,CHN,SHO
26,Gold Medal,1,2021-07-24 00:00:00.0,YANG Q,YANG Qian,CHN,SHO
27,Silver Medal,2,2021-07-24 00:00:00.0,GALASHINA A,GALASHINA Anastasiia,ROC,SHO
28,Bronze Medal,3,2021-07-24 00:00:00.0,CHRISTEN N,CHRISTEN Nina,SUI,SHO
29,Gold Medal,1,2021-07-24 00:00:00.0,DELL'AQUILA V,DELL'AQUILA Vito,ITA,TKW
30,Silver Medal,2,2021-07-24 00:00:00.0,JENDOUBI MK,JENDOUBI Mohamed Khalil,TUN,TKW
31,Bronze Medal,3,2021-07-24 00:00:00.0,ARTAMONOV M,ARTAMONOV Mikhail,ROC,TKW
32,Bronze Medal,3,2021-07-24 00:00:00.0,JANG J,JANG Jun,KOR,TKW
33,Gold Medal,1,2021-07-24 00:00:00.0,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,THA,TKW
34,Silver Medal,2,2021-07-24 00:00:00.0,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,ESP,TKW
35,Bronze Medal,3,2021-07-24 00:00:00.0,BOGDANOVIC T,BOGDANOVIC Tijana,SRB,TKW
36,Bronze Medal,3,2021-07-24 00:00:00.0,SEMBERG A,SEMBERG Abishag,ISR,TKW
37,Gold Medal,1,2021-07-24 00:00:00.0,HOU Z,HOU Zhihui,CHN,WLF
38,Silver Medal,2,2021-07-24 00:00:00.0,MIRABAI CS,MIRABAI Chanu Saikhom,IND,WLF
39,Bronze Medal,3,2021-07-24 00:00:00.0,AISAH WC,AISAH Windy Cantika,INA,WLF
40,Gold Medal,1,2021-07-25 00:00:00.0,KANG C,KANG Chaeyoung,KOR,ARC
41,Gold Medal,1,2021-07-25 00:00:00.0,AN S,AN San,KOR,ARC
42,Gold Medal,1,2021-07-25 00:00:00.0,JANG M,JANG Minhee,KOR,ARC
43,Silver Medal,2,2021-07-25 00:00:00.0,OSIPOVA E,OSIPOVA Elena,ROC,ARC
44,Silver Medal,2,2021-07-25 00:00:00.0,PEROVA K,PEROVA Ksenia,ROC,ARC
45,Silver Medal,2,2021-07-25 00:00:00.0,GOMBOEVA S,GOMBOEVA Svetlana,ROC,ARC
46,Bronze Medal,3,2021-07-25 00:00:00.0,SCHWARZ C,SCHWARZ Charline,GER,ARC
47,Bronze Medal,3,2021-07-25 00:00:00.0,UNRUH L,UNRUH Lisa,GER,ARC
48,Bronze Medal,3,2021-07-25 00:00:00.0,KROPPEN M,KROPPEN Michelle,GER,ARC
49,Gold Medal,1,2021-07-25 00:00:00.0,KIESENHOFER A,KIESENHOFER Anna,AUT,CRD
50,Silver Medal,2,2021-07-25 00:00:00.0,van VLEUTEN A,van VLEUTEN Annemiek,NED,CRD
51,Bronze Medal,3,2021-07-25 00:00:00.0,LONGO BORGHINI E,LONGO BORGHINI Elisa,ITA,CRD
52,Gold Medal,1,2021-07-25 00:00:00.0,WANG H,WANG Han,CHN,DIV
53,Gold Medal,1,2021-07-25 00:00:00.0,SHI T,SHI Tingmao,CHN,DIV
54,Silver Medal,2,2021-07-25 00:00:00.0,ABEL J,ABEL Jennifer,CAN,DIV
55,Silver Medal,2,2021-07-25 00:00:00.0,CITRINI BEAULIEU M,CITRINI BEAULIEU Melissa,CAN,DIV
